timestamp,server_id,cpu_utilization,memory_utilization,network_utilization,disk_utilization
2024-01-01 00:00:00,server_001,40.64,43.98,25.45,36.51
2024-01-01 01:00:00,server_001,55.89,51.61,36.42,21.9
2024-01-01 02:00:00,server_001,49.56,48.44,33.37,27.42
2024-01-01 03:00:00,server_001,43.41,45.36,26.51,22.58
2024-01-01 04:00:00,server_001,46.34,46.83,31.25,16.64
2024-01-01 05:00:00,server_001,42.35,44.83,27.41,17.87
2024-01-01 06:00:00,server_001,55.04,51.18,43.15,31.62
2024-01-01 07:00:00,server_001,63.51,65.56,50.59,27.14
2024-01-01 08:00:00,server_001,62.99,65.3,45.87,34.76
2024-01-01 09:00:00,server_001,92.25,90.06,72.53,38.53
2024-01-01 10:00:00,server_001,94.79,91.33,57.95,44.5
2024-01-01 11:00:00,server_001,87.54,87.71,49.42,47.77
2024-01-01 12:00:00,server_001,90.19,89.03,56.6,46.94
2024-01-01 13:00:00,server_001,85.59,86.73,60.42,49.55
2024-01-01 14:00:00,server_001,94.0,90.94,56.36,44.2
2024-01-01 15:00:00,server_001,100.0,100.0,46.51,45.15
2024-01-01 16:00:00,server_001,83.55,85.71,47.02,40.97
2024-01-01 17:00:00,server_001,92.87,90.37,49.68,56.45
2024-01-01 18:00:00,server_001,68.83,68.21,51.44,34.93
2024-01-01 19:00:00,server_001,68.27,67.94,53.73,31.95
2024-01-01 20:00:00,server_001,71.76,69.68,39.81,43.47
2024-01-01 21:00:00,server_001,74.24,70.92,53.5,47.51
2024-01-01 22:00:00,server_001,46.2,46.76,33.38,25.76
2024-01-01 23:00:00,server_001,51.63,49.47,31.81,25.48
2024-01-02 00:00:00,server_001,47.46,47.39,53.96,10.61
2024-01-02 01:00:00,server_001,47.01,47.17,24.82,30.96
2024-01-02 02:00:00,server_001,39.4,43.36,32.4,30.18
2024-01-02 03:00:00,server_001,48.61,47.97,29.84,28.66
2024-01-02 04:00:00,server_001,47.73,47.52,35.37,21.05
2024-01-02 05:00:00,server_001,42.44,44.88,24.74,33.49
2024-01-02 06:00:00,server_001,51.54,49.43,31.93,30.57
2024-01-02 07:00:00,server_001,85.29,80.45,43.78,43.23
2024-01-02 08:00:00,server_001,65.72,66.66,45.25,32.9
2024-01-02 09:00:00,server_001,90.64,89.26,47.33,44.19
2024-01-02 10:00:00,server_001,89.04,88.46,42.19,25.18
2024-01-02 11:00:00,server_001,100.0,100.0,59.56,63.02
2024-01-02 12:00:00,server_001,100.0,94.48,66.11,42.76
2024-01-02 13:00:00,server_001,89.04,88.46,39.44,42.57
2024-01-02 14:00:00,server_001,91.74,89.81,43.66,41.61
2024-01-02 15:00:00,server_001,90.58,89.23,56.9,47.61
2024-01-02 16:00:00,server_001,85.26,86.57,49.7,40.57
2024-01-02 17:00:00,server_001,90.42,89.15,59.56,50.3
2024-01-02 18:00:00,server_001,70.97,69.29,35.63,35.68
2024-01-02 19:00:00,server_001,77.26,72.43,38.57,44.95
2024-01-02 20:00:00,server_001,70.94,69.27,40.39,19.6
2024-01-02 21:00:00,server_001,66.57,67.09,29.11,34.55
2024-01-02 22:00:00,server_001,50.02,48.67,27.55,26.81
2024-01-02 23:00:00,server_001,51.83,49.57,50.49,22.1
2024-01-03 00:00:00,server_001,54.28,50.8,41.77,23.68
2024-01-03 01:00:00,server_001,46.46,46.89,25.23,31.48
2024-01-03 02:00:00,server_001,51.86,49.59,32.26,25.44
